City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1083,Matagami,CA,49.7502,-77.6328,-29.09,75,0,0,heavy intensity rain
1084,Frolovo,RU,49.7713,43.6622,34.39,100,100,7.87,Clear sky
1085,Nizwa,OM,22.9333,57.5333,64.18,49,1,0.98,Clear sky
1086,Hastings,GB,50.8552,0.5729,49.98,81,100,23.96,broken clouds
1087,Sandpoint,US,48.2766,-116.5533,28.72,88,100,0,Clear sky
1088,Rozkishne,UA,48.5074,39.3004,31.77,95,100,9.71,Clear sky
1089,Mukhen,RU,48.1,136.1,5.31,81,99,5.17,few clouds
1090,Boissevain,CA,49.2306,-100.0559,-1.95,99,100,4.29,haze
1091,Qasigiannguit,GL,68.8193,-51.1922,19.65,95,100,1.59,Clear sky
1092,Juneau,US,58.3019,-134.4197,28.45,95,100,5.75,Clear sky
1093,Birao,CF,10.2849,22.7882,67.03,23,18,5.46,heavy intensity rain
1094,Acari,PE,-15.4311,-74.6158,72.99,75,29,3.89,Clear sky
1095,Baoqing,CN,46.3317,132.2111,8.08,71,46,11.72,Clear sky
1096,Savannah Bight,HN,16.45,-85.85,80.01,84,0,26.89,broken clouds
1097,Skiathos,GR,39.1623,23.4909,38.97,55,14,22.46,Clear sky
1098,Urengoy,RU,65.9667,78.3667,5.07,97,100,5.84,Clear sky
1099,Igarka,RU,67.4667,86.5833,0.3,96,100,11.61,few clouds
1100,Mananara,MG,-16.1667,49.7667,79.3,76,100,6.49,haze
1101,Abalak,RU,58.1286,68.5944,27.43,93,100,10.56,Clear sky
1102,Silver City,US,32.7701,-108.2803,24.67,85,75,3.44,Clear sky
1103,Gigmoto,PH,13.7796,124.39,78.17,90,100,10.45,heavy intensity rain
1104,Freeport,US,40.6576,-73.5832,52.16,86,100,8.01,Clear sky
1105,Ivanava,BY,52.1451,25.5365,22.77,98,100,5.21,Clear sky
1106,Alamosa,US,37.4695,-105.87,0.66,84,0,0,broken clouds
1107,Bali,ID,-8.5,115,81.57,71,95,6.31,Clear sky
1108,Port Hueneme,US,34.1478,-119.1951,61.32,52,0,3.44,Clear sky
1109,Tarbes,FR,43.25,0.1667,48.25,87,100,4.61,few clouds
1110,Malakal,SS,9.5334,31.6605,73.58,24,38,5.55,haze
1111,Yongan,CN,39.6957,113.6871,14.92,41,0,9.95,Clear sky
1112,Kontagora,NG,10.3999,5.4695,68.68,14,0,8.88,Clear sky
1113,Epe,NG,6.5841,3.9834,72.97,95,3,2.71,heavy intensity rain
1114,Amahai,ID,-3.3333,128.9167,88.3,56,97,3.94,Clear sky
1115,Petrovskoye,RU,57.0104,39.2693,12.25,97,100,3.4,Clear sky
1116,Bullhead City,US,35.1478,-114.5683,53.89,21,0,21.85,broken clouds
1117,Shimoda,JP,34.6667,138.95,46.76,62,100,2.77,Clear sky
1118,Ndele,CF,8.4109,20.6473,67.14,21,34,5.21,Clear sky
1119,Harindanga,IN,22.0383,88.3214,75.18,51,1,13.98,few clouds
1120,Butembo,CD,0.15,29.2833,58.12,71,89,2.46,haze
1121,Shache,CN,38.4167,77.2406,30.02,36,77,3.24,Clear sky
1122,Acajutla,SV,13.5928,-89.8275,74.8,80,2,7.94,Clear sky
1123,Ketchikan,US,55.3422,-131.6461,44.58,93,100,18.41,heavy intensity rain
1124,Papillion,US,41.1544,-96.0422,12.33,53,0,1.01,Clear sky
1125,Kuchera,IN,26.9839,73.9719,58.93,45,0,5.19,Clear sky
1126,Guerrero,MX,17.6667,-100,63.05,78,9,5.08,broken clouds
1127,Puerto Del Rosario,ES,28.5004,-13.8627,69.48,55,99,6.91,Clear sky
1128,Isla Mujeres,MX,21.2311,-86.731,78.85,84,0,13.56,Clear sky
1129,Ilebo,CD,-4.3167,20.5833,66.33,98,100,1.03,few clouds
1130,Raga,SS,8.4596,25.678,70.81,22,100,4.45,haze
1131,Islamkot,PK,24.6997,70.177,65.82,33,0,6.85,Clear sky
1132,Kodinsk,RU,58.6881,99.1844,12,94,100,5.55,Clear sky
1133,Saint-Joseph,RE,-21.3667,55.6167,79.16,88,100,27.47,heavy intensity rain
1134,Smithers,CA,54.7804,-127.1743,23.32,86,100,3.44,Clear sky
1135,Gorom-Gorom,BF,14.4439,-0.2361,63.73,16,3,12.37,Clear sky
1136,Skeldon,GY,5.8833,-57.1333,74.79,84,68,5.84,broken clouds
1137,Sena Madureira,BR,-9.0656,-68.6569,72.1,98,100,2.51,Clear sky
1138,Thonon-Les-Bains,FR,46.25,6.5,34.2,98,0,5.39,Clear sky
1139,Diu,IN,20.7141,70.9822,68.7,35,20,2.24,few clouds
1140,Purpe,RU,64.4803,76.6897,16.7,96,100,7.56,haze
1141,Lewisporte,CA,49.2499,-55.0482,38.91,97,100,8.79,Clear sky
1142,Miraflores,MX,19.2167,-98.8083,62.02,66,1,4,Clear sky
1143,Homer,US,59.6425,-151.5483,30.09,86,100,10.36,heavy intensity rain
1144,Winsum,NL,53.33,6.5208,45.99,88,100,19.35,Clear sky
1145,Rio Tercero,AR,-32.173,-64.1141,71.8,83,14,2.68,Clear sky
1146,Vuktyl,RU,63.8567,57.3094,13.87,96,100,5.79,broken clouds
1147,Xichang,CN,27.8964,102.2634,44.71,85,95,3.18,Clear sky
1148,Despotovac,RS,44.0925,21.4469,29.3,89,100,5.08,Clear sky
1149,Lakes Entrance,AU,-37.8811,147.981,70.16,58,37,9.13,few clouds
1150,Gambo,CF,4.6482,22.2633,72.95,33,100,0.98,haze
1151,Urumqi,CN,43.801,87.6005,0.55,85,75,2.24,Clear sky
1152,Pedro Juan Caballero,PY,-22.5472,-55.7333,69.49,93,100,9.62,Clear sky
1153,Ziway,ET,7.9333,38.7167,59.43,58,96,9.57,heavy intensity rain
1154,Melilla,ES,35.2937,-2.9383,61.18,33,0,5.75,Clear sky
1155,Kermanshah,IR,34.3142,47.065,40.71,67,70,8.66,Clear sky
1156,Nizhnevartovsk,RU,60.9344,76.5531,21.22,93,75,13.42,broken clouds
1157,Kalas,IN,18.1667,74.8,67.84,63,57,11.36,Clear sky
1158,Pennadam,IN,11.4,79.2333,78.55,59,10,3.47,Clear sky
1159,Barcelos,PT,41.5388,-8.6151,51.94,76,100,0.18,few clouds
1160,Terney,RU,45.0503,136.6092,14.47,55,6,9.95,haze
1161,Semey,KZ,50.4111,80.2275,-1.98,71,22,11.18,Clear sky
1162,Strelka,RU,58.0728,93.0344,15.62,94,100,6.89,Clear sky
1163,Junin,AR,-34.5838,-60.9433,67.03,90,3,7.31,heavy intensity rain
1164,Coihueco,CL,-36.6167,-71.8333,59.74,82,8,0,Clear sky
1165,Acapulco,MX,16.8634,-99.8901,76.82,78,0,4.61,Clear sky
1166,Kloulklubed,PW,7.0419,134.2556,86.5,72,24,18.79,broken clouds
1167,Port Arthur,CN,38.8,121.2667,25.02,45,98,19.37,Clear sky
1168,Chaozhou,CN,23.6651,116.6379,57.06,67,90,6.89,Clear sky
1169,Ormara,PK,25.2088,64.6357,68.05,27,0,13.33,few clouds
1170,Terrace,CA,54.5163,-128.6035,36.43,100,100,5.75,haze
1171,Karasjok,NO,69.4719,25.5112,6.91,100,97,5.97,Clear sky
1172,Chase,CA,50.8165,-119.6857,27.72,97,99,2.89,Clear sky
1173,Diapaga,BF,12.0708,1.7889,67.37,14,1,12.12,heavy intensity rain
1174,Tateyama,JP,34.9833,139.8667,46.67,75,100,6.4,Clear sky
1175,Mackenzie,CA,55.2999,-123.1698,10.62,85,100,3.44,Clear sky
1176,Besskorbnaya,RU,44.6447,41.311,34.88,99,100,8.34,broken clouds
1177,Bossangoa,CF,6.4926,17.4552,70.7,17,58,5.97,Clear sky
1178,Coromandel,BR,-18.4733,-47.2003,67.87,91,100,2.95,Clear sky
1179,Pachora,IN,20.6667,75.35,69.46,60,3,6.55,few clouds
1180,Phan Thiet,VN,10.9333,108.1,88.43,51,38,15.41,haze
1181,Kalmunai,LK,7.4167,81.8167,79.34,71,6,4.97,Clear sky
1182,Santa Marta,CO,11.2408,-74.199,83.89,65,2,20,Clear sky
1183,Tukrah,LY,32.5341,20.5791,53.69,56,33,20.27,heavy intensity rain
1184,Batticaloa,LK,7.7102,81.6924,78.44,72,4,2.21,Clear sky
1185,Naples,IT,40.8333,14.25,53.74,79,0,3.44,Clear sky
1186,Kendal,GB,54.3268,-2.7476,40.1,95,100,11.41,broken clouds
1187,Male,MV,4.1748,73.5089,81.16,73,12,8.46,Clear sky
1188,Szczytno,PL,53.5626,20.9875,31.93,100,100,5.75,Clear sky
1189,Turtas,RU,58.9417,69.1325,25.81,94,100,9.57,few clouds
1190,Astoria,US,46.1879,-123.8313,46.29,93,100,0,haze
1191,Mogadishu,SO,2.0371,45.3438,75.11,79,23,17.07,Clear sky
1192,North Branch,US,45.5113,-92.9802,1.08,70,79,4.03,Clear sky
1193,Chiniot,PK,31.72,72.9789,51.84,76,0,2.15,heavy intensity rain
1194,Grevesmuhlen,DE,53.8667,11.1833,44.71,95,100,13.42,Clear sky
1195,Ust-Maya,RU,60.4167,134.5333,-13.16,87,100,3.78,Clear sky
1196,Ust-Ishim,RU,57.6935,71.1665,25.68,94,100,10.29,broken clouds
1197,Darhan,MN,49.4867,105.9228,0.79,85,25,4.05,Clear sky
1198,Ximei,CN,24.9639,118.3794,56.93,84,100,3.53,Clear sky
1199,Perove,UA,44.9333,34.0667,32.92,95,100,7.25,few clouds
1200,Peterhead,GB,57.5058,-1.7981,36,70,12,18.52,haze
1201,Koppal,IN,15.35,76.15,73.15,49,13,10.42,Clear sky
1202,Mahabad,IR,36.7631,45.7222,29.88,84,10,8.97,Clear sky
1203,Takefu,JP,35.9039,136.1669,38.86,74,100,10.54,heavy intensity rain
1204,Tandil,AR,-37.3217,-59.1332,62.42,94,25,2.59,Clear sky
1205,Fort Nelson,CA,58.8053,-122.7002,-11.61,77,100,4.61,Clear sky
1206,Dicabisagan,PH,17.0818,122.4157,78.6,75,92,6.4,broken clouds
1207,Nueve De Julio,AR,-35.4444,-60.8831,70.72,91,0,6.73,Clear sky
1208,Santiago Del Estero,AR,-27.7951,-64.2615,78.22,70,44,7.45,Clear sky
1209,Oudtshoorn,ZA,-33.5907,22.2014,59.36,79,97,6.44,few clouds
1210,Eldorado,BR,-23.7869,-54.2836,77.09,97,100,7.7,haze
1211,Zverinogolovskoye,RU,54.4586,64.8542,19.56,84,100,15.3,Clear sky
1212,Tara,RU,56.8944,74.371,21.22,89,100,14.03,Clear sky
1213,Uspenka,UA,48.3903,39.1619,31.89,94,100,9.69,heavy intensity rain
1214,Itaueira,BR,-7.6033,-43.0256,79.61,51,98,2.59,Clear sky
1215,Sudogda,RU,55.9539,40.8629,14.56,96,100,4.52,Clear sky
1216,Matamoros,MX,25.5333,-103.25,62.71,42,0,5.75,broken clouds
1217,Lyuban,BY,52.7985,28.0048,5.04,100,96,0.58,Clear sky
1218,Shihezi,CN,44.3,86.0333,9.27,91,87,2.28,Clear sky
1219,Kuching,MY,1.55,110.3333,84.42,74,40,5.75,few clouds
1220,Sangmelima,CM,2.9333,11.9833,65.25,99,97,1.34,haze
1221,Sulangan,PH,11.1373,123.7228,77.74,82,96,15.88,Clear sky
1222,Ramotswa,BW,-24.8716,25.8699,69.42,87,56,1.92,Clear sky
1223,Surok,RU,56.4469,48.1214,18.18,89,100,9.06,heavy intensity rain
1224,Rosario,AR,-32.9468,-60.6393,72.07,93,8,1.99,Clear sky
1225,Kanker,IN,20.2719,81.4931,74.89,53,1,14.09,Clear sky
1226,Porto Torres,IT,40.835,8.3972,53.78,77,41,11.68,broken clouds
1227,Konstantinovka,RU,49.6167,127.9833,1.81,76,16,9.66,Clear sky
1228,Chicama,PE,-7.8447,-79.1469,71.69,75,66,6.04,Clear sky
1229,Tahta,EG,26.7693,31.5021,49.84,53,2,11.27,few clouds
1230,Phangnga,TH,8.4509,98.5298,89.82,47,9,6.02,haze
1231,Uvira,CD,-3.4067,29.1458,70.68,87,100,1.21,Clear sky
1232,Verkhoyansk,RU,67.5447,133.385,-28.08,97,69,1.03,Clear sky
1233,Greenville,US,35.6127,-77.3663,65.28,85,40,12.66,heavy intensity rain
1234,Berlin,DE,52.5244,13.4105,43.36,93,75,8.99,Clear sky
